Characteristic,Overall,Low Risk,High Risk,P value
"Age (years), median (IQR)",59.0 (49.7-67.8),59.2 (50.4-68.5),58.8 (49.3-66.4),0.0864
"Male, n (%)",11 (1.1%),9 (1.7%),2 (0.4%),0.064
"White, n (%)",715 (69.4%),330 (64.1%),385 (74.8%),0.0003
"Black or African American, n (%)",169 (16.4%),91 (17.7%),78 (15.1%),0.3127
"Asian, n (%)",60 (5.8%),39 (7.6%),21 (4.1%),0.0237
"Race Not Reported, n (%)",85 (8.3%),55 (10.7%),30 (5.8%),0.0066
AJCC Stage,Stage I: 185 (18.0%),92 (17.9%),93 (18.1%),0.0301
,Stage II: 570 (55.3%),305 (59.2%),265 (51.5%),
,Stage III: 216 (21.0%),90 (17.5%),126 (24.5%),
,Unknown: 7 (0.7%),4 (0.8%),3 (0.6%),
T Stage,T1: 254 (24.7%),124 (24.1%),130 (25.2%),0.8774
,T2: 580 (56.3%),296 (57.5%),284 (55.1%),
,T3: 118 (11.5%),55 (10.7%),63 (12.2%),
,T4: 33 (3.2%),18 (3.5%),15 (2.9%),
,TX: 2 (0.2%),1 (0.2%),1 (0.2%),
N Stage,N0: 477 (46.3%),254 (49.3%),223 (43.3%),0.0091
,N1: 321 (31.2%),163 (31.7%),158 (30.7%),
,N2: 110 (10.7%),40 (7.8%),70 (13.6%),
,N3: 64 (6.2%),27 (5.2%),37 (7.2%),
,NX: 15 (1.5%),10 (1.9%),5 (1.0%),
M Stage,M0: 828 (80.4%),416 (80.8%),412 (80.0%),0.9515
,M1: 19 (1.8%),9 (1.7%),10 (1.9%),
,MX: 140 (13.6%),69 (13.4%),71 (13.8%),
Vital Status,Alive: 880 (85.4%),455 (88.3%),425 (82.5%),0.0104
,Dead: 150 (14.6%),60 (11.7%),90 (17.5%),
