Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),40/176,1.820060000923393e-17,5.6185252228505137e-14,0,0,6.384677582373156,246.09788975302283,VIT;COL17A1;ECM2;HPSE2;COL14A1;TMPRSS6;ELN;COL11A1;KLK5;DPT;KLK7;ADAMTS16;ADAMTS5;ADAMTS2;FLRT2;MMP27;ADAMTS1;ADAMTSL4;CTSK;HAS1;MMP28;HAS3;HAS2;CTSG;HMCN1;GSN;CMA1;LUM;MMP2;SPINK5;MMP3;MMP8;COL3A1;CCDC80;LOX;MMP19;TLL1;RECK;DDR2;MATN2
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),35/205,1.371965483030937e-11,2.1127635263674516e-08,0,0,4.43585019429184,110.95033519957929,HSPB6;NPR1;PDE3B;ISM1;FGF1;THBS2;FGF2;THBS4;AQP1;GPNMB;ADGRA2;ADAMTS1;EMILIN2;CD34;HOXA5;ANGPT4;PTGIS;SERPINF1;SPINK5;VEGFD;NRG1;KLF4;DCN;CLDN5;FGF16;SFRP1;IL6;TNMD;LEP;RHOJ;CNTN1;RLN2;SPRY2;PPARG;ANGPTL4
GO_Biological_Process_2023,Epidermis Development (GO:0008544),22/85,2.053220142242421e-11,2.1127635263674516e-08,0,0,7.456006270821086,183.4850571040241,CERS3;COL17A1;SPRR2F;SPINK5;KLK5;EMP1;KRT5;KLK7;KRT9;KRT83;NTF4;SCEL;FGF7;DCT;FABP5;GJB5;KRT14;SVEP1;CCN2;ASIC2;SPRR1A;SPRR1B
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),23/110,7.412019988079865e-10,5.720226425800637e-07,0,0,5.643807309828232,118.64833841067475,VIT;COL17A1;ECM2;HPSE2;COL14A1;MMP2;COL11A1;SPINK5;MMP3;MMP8;TGM1;ADAMTS16;ADAMTS5;ADAMTS2;COL3A1;CCDC80;MMP27;ADAMTS1;ADAMTSL4;MMP28;MMP19;RECK;MATN2
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),41/310,9.41161719071696e-10,5.810732453548653e-07,0,0,3.2891869308686608,68.36215242299899,CCL14;CCL13;HTR2B;ADRB2;HTR2A;FGF1;FGF2;CX3CL1;SOX2;GPNMB;GPER1;S100A12;CCN2;CD36;IGFBP6;CCL16;CCL24;PDGFRA;EDN1;CCL23;EDN3;CCL21;ANGPT1;CAV2;IL34;NRG1;IGF1;CARTPT;MMP8;BMP2;IL6;ADRB3;DOK5;LEP;KIT;SPRY2;ROR1;TLR4;FERMT2;DDR2;FGF10
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),22/109,3.490747295975605e-09,1.7959894837794491e-06,0,0,5.39236554562225,105.00634311789732,VIT;COL17A1;ECM2;HPSE2;COL14A1;MMP2;COL11A1;SPINK5;MMP3;MMP8;ADAMTS16;ADAMTS5;ADAMTS2;COL3A1;CCDC80;MMP27;ADAMTS1;ADAMTSL4;MMP28;MMP19;RECK;MATN2
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),43/364,1.1873012086665988e-08,5.235998330219701e-06,0,0,2.889454649622229,52.72965184543152,PID1;TCF23;FGF1;FGF2;ACTG2;FGF7;GPER1;CD36;CD34;HOXA5;SNCA;EGR1;IL33;GSN;ANGPT1;PDE2A;AVPR2;ANK2;IGF1;MMP8;KLF4;BMP6;ACTA2;CLDN5;SFRP4;FGF16;BMP2;IL6;WT1;PIP;AGTR1;CLDN19;CNTN1;RLN2;TMEM119;PKP1;SPRY2;PPARG;ADTRP;VSTM2A;TLR4;FGF10;RBMS3
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),48/434,1.4256719543835268e-08,5.501311653977434e-06,0,0,2.688454281350145,48.56971584895748,LRRC15;TNXB;SEMA3D;FAM107A;SEMA3G;TWIST2;NEXN;LDB2;FGF1;FGF2;CX3CL1;MYLK;FGF7;RELN;GPNMB;GPER1;PDPN;ENPP2;HAS2;EMILIN2;SLIT2;PLXNA4;NGFR;CCL24;PDGFRA;EDN1;ANXA1;F10;CAV1;ADIPOQ;KRT5;IGF1;PLET1;PODN;SLURP1;CLDN5;IGSF10;SFRP1;BMP2;CXCL12;KRT16;KIT;CLDN19;CNTN1;SNAI2;SPRY2;RECK;FERMT2
GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),19/94,3.954400778589815e-08,1.3563594670563064e-05,0,0,5.387442207307979,91.83354071441256,OXTR;LHCGR;AKR1C1;CAV1;AVPR2;AKR1C3;AKR1C2;CRHBP;SFRP1;NR4A3;CYP11A1;WT1;GPER1;LEP;SLIT1;ADTRP;MGARP;SLIT2;RAMP1
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),26/171,6.785588415131579e-08,2.094711143751118e-05,0,0,3.8291956614702793,63.20424305656466,KCNG1;KCNC1;KCNA1;KCNA2;RYR3;AQP1;NIPAL4;SCN11A;KCNMB1;SCN9A;SCN7A;SLC17A7;SCN3B;SCN3A;KCNJ3;KCNF1;KCNIP2;CAV1;KCNJ16;KCNS2;NMUR1;SCN4A;SCN2A;SCN4B;RAMP1;KCNK3
