Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,PPAR signaling pathway,16/74,1.7398336542512505e-07,2.3419899457124515e-05,0,0,5.852150847653096,91.08466738968622,ACSL1;ADIPOQ;AQP7;LPL;SORBS1;FABP4;ACADL;FABP5;PLIN4;SLC27A6;PPARG;CD36;ANGPTL4;PLIN1;PCK1;SLC27A2
KEGG_2021_Human,Calcium signaling pathway,31/240,1.7946283108907673e-07,2.3419899457124515e-05,0,0,3.174700821317362,49.31357302818596,PTGFR;OXTR;PDE1C;PDE1B;PDE1A;HTR2B;ADRB2;HTR2A;FGF1;FGF2;ADRA1A;RYR3;MYLK;SLC8A2;CACNA1G;GRIN2A;FGF7;EDNRB;PLN;PLCZ1;PDGFRA;LHCGR;VEGFD;TACR1;GRIN2C;FGF16;GNAL;ADRB3;AGTR1;CASQ2;FGF10
KEGG_2021_Human,Malaria,12/50,1.857979703224991e-06,0.00014951352167424787,0,0,6.676441380921783,88.10245961051909,SELP;CSF3;IL6;CR1;LRP1;HBB;HBA2;CD36;ACKR1;THBS2;TLR4;THBS4
KEGG_2021_Human,Renin secretion,14/69,2.291394968187707e-06,0.00014951352167424787,0,0,5.388775407017898,69.98052226451635,EDN1;ADCYAP1R1;EDN3;PDE1C;NPR1;PDE1B;PDE1A;PDE3B;ADRB2;AQP1;ADRB3;AGTR1;CLCA2;CLCA4
KEGG_2021_Human,Retinol metabolism,13/68,1.0447491135783644e-05,0.0004984174257577722,0,0,4.99830303030303,57.32628065761144,ADH1C;ADH1B;ADH1A;RPE65;ALDH1A3;CYP2A7;ADH4;CYP26B1;CYP2C8;ALDH1A2;ALDH1A1;RDH5;UGT2B4
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,16/100,1.1457871856500509e-05,0.0004984174257577722,0,0,4.035249774380209,45.908365079549405,CCL14;CCL13;CCL24;CCL23;CCL21;IL34;CXCL3;CXCL2;CX3CL1;TNFRSF10D;IL6;CXCL12;CXCR2;ACKR4;CCL28;CCL16
KEGG_2021_Human,PI3K-Akt signaling pathway,35/354,1.5743466099398083e-05,0.0005674179401729603,0,0,2.345313158289358,25.9370178730905,CSF3;TNXB;LAMA2;LAMC3;LAMA4;FGF1;THBS2;FGF2;THBS4;NTF4;FGF7;RELN;GNG2;PCK1;NGFR;PDGFRA;ANGPT4;VWF;ANGPT1;LAMB4;VEGFD;IGF1;GNG11;GNG13;FGF16;NR4A1;IL6;KIT;ITGA7;COL6A6;COL6A5;SGK2;TLR4;FGF10;CREB5
KEGG_2021_Human,Neuroactive ligand-receptor interaction,34/341,1.739212077158499e-05,0.0005674179401729603,0,0,2.3661771408878165,25.93210248318132,PTGFR;GRIA2;OXTR;ADCYAP1R1;HTR2B;PTH1R;ADRB2;HTR2A;ADRA1A;GRIN2A;EDNRB;KISS1R;LEPR;S1PR1;CTSG;GRIA4;EDN1;LHCGR;EDN3;HTR1E;AVPR2;GLP2R;SCTR;TACR1;GRIN2C;GRIN2B;SLURP1;GABRG1;ADRB3;LEP;AGTR1;RLN2;NMUR1;AGTR2
KEGG_2021_Human,Cytokine-cytokine receptor interaction,30/295,3.69542220886172e-05,0.0010716724405698,0,0,2.4131284856514026,24.62798066651603,CCL14;CCL13;CSF3;CXCL3;CXCL2;CX3CL1;IL1RL1;ACVR1C;CXCR2;LEPR;IL36RN;CCL16;GDF10;NGFR;CCL24;IL33;CCL23;TSLP;CCL21;IL34;BMP6;TNFRSF10D;TGFBR2;BMP2;IL6;CXCL12;LEP;ACKR4;CCL28;IL17B
KEGG_2021_Human,ECM-receptor interaction,14/88,4.261929903569071e-05,0.0011123637048315,0,0,4.001172473919971,40.26461235658752,TNXB;VWF;LAMA2;LAMC3;LAMA4;LAMB4;THBS2;THBS4;RELN;ITGA7;COL6A6;CD36;COL6A5;FREM1
KEGG_2021_Human,Protein digestion and absorption,15/103,6.621253214661007e-05,0.0015710428082059,0,0,3.6063094756023486,34.70222071750651,COL17A1;CPA2;CPA1;SLC15A1;MME;COL14A1;COL25A1;ELN;COL11A1;SLC8A2;DPP4;COL3A1;XPNPEP2;COL6A6;COL6A5
KEGG_2021_Human,ABC transporters,9/45,0.00016645308701921765,0.0036203546426679,0,0,5.268528761061947,45.8403994909704,ABCD2;ABCA10;ABCB1;ABCA6;ABCB5;ABCA9;DEFB1;ABCC9;ABCA8
