gene_id,Mean_High,Mean_Low,log2FC,P_value,FDR,Regulation,gene_name,gene_type
ENSG00000000005,136.4271844660194,37.87766990291262,1.821653751776996,1.010112707593583e-06,9.13754657458779e-06,Up,TNMD,protein_coding
ENSG00000000971,4750.398058252427,2003.9339805825243,1.244797344873448,1.978076747824347e-45,1.8877973250536442e-42,Up,CFH,protein_coding
ENSG00000003096,942.052427184466,403.2116504854369,1.2222270722493798,1.7704147905756896e-12,3.8805995855163417e-11,Up,KLHL13,protein_coding
ENSG00000003137,547.4796116504855,256.8601941747573,1.088848911289287,7.463135673728109e-13,1.7162694365250986e-11,Up,CYP26B1,protein_coding
ENSG00000004776,459.9339805825242,88.3126213592233,2.367624157054412,1.8058305292295265e-06,1.5512706697046493e-05,Up,HSPB6,protein_coding
ENSG00000004799,7242.858252427184,2065.761165048544,1.8093866354217556,1.4792701755429594e-15,4.785711631601611e-14,Up,PDK4,protein_coding
ENSG00000004846,89.79805825242718,9.648543689320388,3.092005306497246,8.382322708979582e-19,3.8349729149289333e-17,Up,ABCB5,protein_coding
ENSG00000005102,624.6155339805825,200.2,1.6366460299419154,2.285621341404834e-22,1.475849515144193e-20,Up,MEOX1,protein_coding
ENSG00000006210,7601.623300970874,3284.143689320388,1.210540835231824,4.214234958380918e-14,1.1393476699377945e-12,Up,CX3CL1,protein_coding
ENSG00000006283,123.51650485436892,56.70679611650485,1.1095238465545076,2.391397364093152e-09,3.3631800595283534e-08,Up,CACNA1G,protein_coding
ENSG00000007237,4155.186407766991,1898.47572815534,1.1296590844376737,5.059235462368879e-47,6.353068362982058e-44,Up,GAS7,protein_coding
ENSG00000007314,286.77669902912623,109.1980582524272,1.384850980246061,0.0006817892990259,0.0032326730694476,Up,SCN4A,protein_coding
ENSG00000009950,331.72038834951456,162.7514563106796,1.0228025368022104,7.759431614995512e-06,5.899690213581196e-05,Up,MLXIPL,protein_coding
ENSG00000010319,2585.8252427184466,1277.6679611650486,1.0165409134599488,1.6242487660123845e-12,3.578296519694319e-11,Up,SEMA3G,protein_coding
ENSG00000010932,724.4543689320388,303.54174757281555,1.2522448606366772,3.51951079428856e-21,2.0606627740105708e-19,Up,FMO1,protein_coding
ENSG00000011465,66916.84854368932,21844.46019417476,1.615057564687922,1.443755686104389e-41,7.488384111905353e-39,Up,DCN,protein_coding
ENSG00000013297,729.6271844660195,280.0174757281553,1.378475582496106,1.4177949334755602e-23,1.0235149566654582e-21,Up,CLDN11,protein_coding
ENSG00000016602,57.394174757281554,11.411650485436894,2.234129481012821,6.219535733489092e-13,1.4470200201396024e-11,Up,CLCA4,protein_coding
ENSG00000017427,262.02718446601943,83.88349514563107,1.6316559463748417,6.781416354576234e-27,6.699702393533515e-25,Up,IGF1,protein_coding
ENSG00000018236,1210.6601941747572,551.7009708737864,1.1324141048986534,7.35594363707995e-19,3.391409840330252e-17,Up,CNTN1,protein_coding
ENSG00000019549,1896.7281553398057,923.7339805825244,1.0371630363375206,6.184888761833555e-36,1.621596274380075e-33,Up,SNAI2,protein_coding
ENSG00000020181,2747.8718446601943,1363.5184466019418,1.0104477502391032,2.034219547038289e-48,3.466746012341896e-45,Up,ADGRA2,protein_coding
ENSG00000020577,1462.071844660194,720.1883495145631,1.0205526193083168,1.066291787076733e-32,1.9128312592378782e-30,Up,SAMD4A,protein_coding
ENSG00000022267,11500.446601941749,1372.6388349514564,3.065740691068968,6.612438790212674e-05,0.0004073487660616,Up,FHL1,protein_coding
ENSG00000026559,354.0699029126214,172.1864077669903,1.0357773700693038,0.0032176202846024,0.0124939706030318,Up,KCNG1,protein_coding
ENSG00000029534,198.35533980582525,753.2058252427184,-1.9196160444660375,0.0037294820655133,0.0141487855940663,Down,ANK1,protein_coding
ENSG00000035862,29981.974757281558,14536.401941747572,1.044374066795856,2.700489642785206e-60,4.295398825814149e-56,Up,TIMP2,protein_coding
ENSG00000036473,3.124271844660194,0.7669902912621359,1.2228453157180952,5.552574583792007e-09,7.38867133266556e-08,Up,OTC,protein_coding
ENSG00000038295,465.00388349514566,192.5087378640777,1.267943265225317,3.263047437826825e-31,5.105117955351488e-29,Up,TLL1,protein_coding
ENSG00000039537,261.80582524271847,59.66990291262136,2.1149443463786084,7.293448222953719e-14,1.9049193338965823e-12,Up,C6,protein_coding
ENSG00000046889,946.833009708738,391.1126213592233,1.273364825657688,3.941813086337546e-25,3.335025476132181e-23,Up,PREX2,protein_coding
ENSG00000048740,2998.376699029126,1413.1631067961166,1.0847141978143813,5.03307507149567e-27,5.045552022303159e-25,Up,CELF2,protein_coding
ENSG00000049540,10279.388349514564,4303.972815533981,1.2558187318412202,3.520711657047069e-15,1.0902097264826221e-13,Up,ELN,protein_coding
ENSG00000050555,381.2349514563107,182.16893203883492,1.0612848806412545,1.1443703719205064e-08,1.449616814635061e-07,Up,LAMC3,protein_coding
ENSG00000052850,325.9281553398058,93.14757281553398,1.7959778217859033,7.550063995516011e-11,1.3158289033529326e-09,Up,ALX4,protein_coding
ENSG00000053328,35.43689320388349,17.155339805825243,1.0050060201119768,4.8734748942553934e-30,6.779955539477518e-28,Up,METTL24,protein_coding
ENSG00000053438,219.93980582524276,81.9378640776699,1.413550567901777,3.040115105429909e-05,0.0002034902687626,Up,NNAT,protein_coding
ENSG00000056487,71.05825242718447,147.79223300970872,-1.0460636506443115,0.0023449002424626,0.0094994439060897,Down,PHF21B,protein_coding
ENSG00000056998,2443.84854368932,681.4407766990291,1.840969337004916,4.2310508404675135e-10,6.725425849614551e-09,Up,GYG2,protein_coding
ENSG00000060718,17476.015533980582,8415.757281553399,1.0541224244716965,5.060605069136113e-14,1.3574027694718213e-12,Up,COL11A1,protein_coding
ENSG00000062282,3516.809708737864,1268.9417475728155,1.469915122373687,2.4340581963130027e-08,2.940465544599085e-07,Up,DGAT2,protein_coding
ENSG00000063015,31.76504854368932,227.5126213592233,-2.802044277069348,0.0079028977136344,0.0268616335279725,Down,SEZ6,protein_coding
ENSG00000064205,2885.285436893204,945.7009708737864,1.60823327428946,1.369720585645324e-23,9.91810726947247e-22,Up,CCN5,protein_coding
