,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Alpha_5,Alpha_6,Alpha_7,Alpha_8,Alpha_9,Alpha_10,Alpha_11,Alpha_12,Alpha_13,Alpha_14,Alpha_15,Alpha_16,Alpha_17,Alpha_18,Alpha_19,Alpha_20,Alpha_21,Alpha_22,Alpha_23,Alpha_24,Alpha_25,Alpha_26,Alpha_27,Alpha_28,Alpha_29,Alpha_30,Alpha_31,Alpha_32,Alpha_33,Alpha_34,Alpha_35,Alpha_36,Alpha_37,Alpha_38,Alpha_39,Alpha_40,Alpha_41,Alpha_42,Alpha_43,Alpha_44,Alpha_45,Alpha_46,Alpha_47,Alpha_48,Alpha_49,Alpha_50,Alpha_51,Alpha_52,Alpha_53,Alpha_54,Alpha_55,Alpha_56,Alpha_57,Alpha_58,Alpha_59,Alpha_60,Alpha_61,Alpha_62,Alpha_63,Alpha_64,Alpha_65,Alpha_66,Alpha_67,Alpha_68,Alpha_69,Alpha_70,Alpha_71,Alpha_72,Alpha_73,Alpha_74,Alpha_75,Alpha_76,Alpha_77,Alpha_78,Alpha_79,Alpha_80,Alpha_81,Alpha_82,Alpha_83,Alpha_84,Alpha_85,Alpha_86,Alpha_87,Alpha_88,Alpha_89,Alpha_90,Alpha_91,Alpha_92,Alpha_93,Alpha_94,Alpha_95,Alpha_96,Alpha_97,Alpha_98,Alpha_99,Alpha_100
ENSG00000121871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059690116635474485,0.07293635255927679,0.09875073718541398,0.1149677061729867,0.12716908269135266,0.13691554840289435,0.1452133271694497,0.15194420487195306,0.15739777639907976,0.16283452576883714,0.16855915074638184,0.1737211610177519,0.1784236757061544,0.183361020212313,0.18848221535650508,0.19341087149243752,0.19777433505544784,0.2019630811459919,0.20620693167698134,0.210318378600698,0.21585324778262724,0.22226050467818512,0.2288979567742825,0.23488522245315502,0.24064776145630282,0.246109787369508,0.25148998752077106,0.25816381540669237,0.2651602711701406,0.2722638204634743,0.2781708869819496,0.28429889526509955,0.289869357948047,0.2948253225908595,0.3007465869253592,0.3076288759397481,0.3146790421891871,0.3221712717985652,0.3297409252743336,0.33824529923791974,0.34716571486458453,0.35519822708625787,0.36370287508847754,0.37218802274736434,0.38194447515367175,0.39279644276830994,0.4053161497388679,0.41761654016167754,0.4298072112355553,0.4431247694637065,0.4571445557379959,0.46988319144194796,0.48330471022180044,0.4964998139543863,0.5093538583221274,0.521316180915558,0.5350493403095219,0.5633646226153476,0.5944549219675964,0.6269859431182865,0.6614992132348786,0.6948783022523132,0.721910495440236,0.7466668716864328,0.7675879199068837,0.7857483081816589,0.8023653205110027,0.8238937522269906,0.8473141465748388,0.8769794075725886,0.9143550654695713,0.9439306849520717,0.973537216791664,1.0113052881969382,1.048748647306619,1.0913083153509866,1.133899161242321,1.1781761134310114,1.2240599214939751,1.2705974419114234,1.3122396549736999,1.3571940091075965,1.4014390523453228,1.4450259846913773,1.491157501031429,1.538139119491719
ENSG00000231436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013901201248241622,0.032924334765084474,0.05340234418295525,0.0743677405403609,0.09304452529985788,0.11437690610484832,0.13760400868364978,0.15898109195152843,0.1786105402770905,0.19874458703831163,0.21301046122643227,0.22535239939409027,0.23912107224089219,0.2595613531200115,0.2874303496829499,0.31746158542789904,0.34845392203867637,0.3797086397358109,0.40903425251866643,0.4308302850065218,0.4469714520973307,0.462183817633449,0.4776208833045228,0.49291514711685086,0.5083704830937904,0.5238093605246059,0.5420880292407599,0.5594091317482418,0.5767315189052108,0.5979172478664418,0.614233096286476,0.6236000282364974,0.627145362939745,0.6254022439470208,0.6219948846442849,0.6187019846842875,0.6141823830791432,0.6031832763219456,0.5839201149784594,0.565491353822217,0.5346540513257738,0.5073805690735134,0.4823645089219455,0.46303745118548906,0.44879618906428015,0.43476609261317817,0.42351581897112334,0.41480592457666876,0.4068347409237248,0.4006719226046201,0.3948509171420793,0.38841467701530724,0.38151956511284807,0.37488431152579205,0.3681386450508088,0.35984202565485035
ENSG00000171951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333293771326586,0.013749092644861804,0.022625011447997927,0.030318660187864173,0.03691366533065287,0.043184275739220526,0.047700054850682606,0.05124545592490318,0.05127651339450098,0.05055427380248325,0.04960513352879988,0.04754666175321197,0.04400502896317161,0.04059658938064635,0.037601947247287555,0.03568270157592059,0.03445772662038404,0.03444080477802631,0.033756516853471544,0.03712584719086639,0.042522397188137516,0.04945488520196733,0.05640244630867933,0.06356921594914179,0.06833483600959013,0.07215291989260386,0.07544513676248067,0.07797108381729377,0.08128645078955782,0.0860355209823304,0.09204742161331829,0.09776367075219125,0.10312044055598171,0.10889551311997119,0.11599784390829594,0.1239438423467187,0.13149441468600537,0.13978381464684142,0.1475589254040926,0.1562331194975619,0.16915216110840375,0.17822829552868427,0.1856039261389216,0.19402362907908016,0.20407552593922482,0.21551201009447424,0.22139493162560436,0.22349057256346233,0.2242399215353015,0.22635411322985002,0.2279946388828702,0.2314431746078131,0.23312443153265985,0.2327209003228136,0.23244789570819469,0.23216031446965413,0.23096216049306856,0.23111836544790326,0.23247893904662018,0.23350263042281996,0.2345114748220231,0.241327995748064,0.25126518764907885,0.26208128944304754,0.27394772836161946,0.2850123936565898,0.2981055578012765,0.31279521403991933,0.32848645447966773,0.34383893385585945,0.3603215202412554,0.3783752860384205
ENSG00000231421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063082857634565994,0.015882615039679658,0.021932282457819387,0.025519468533093417,0.03128302751295176,0.03681476893971468,0.04257103554900468,0.046488459893481514,0.05023897607264873,0.053409277100296644,0.05713428488171612,0.06334202980043672,0.07275942075174315,0.08223567159656246,0.09186610088183332,0.10235129218251378,0.1125031999088596,0.12112337780171535,0.13058663804229653,0.14014249357649206,0.14894723073479418,0.15544880126279137,0.16045767537065878,0.16818185346879042,0.17660269075515425,0.18535450079772595,0.19642968138528563,0.209324236176884,0.2228436409227277,0.23770666613605854,0.25258873240547064,0.26892641588650307,0.2870307653600916,0.30554093943611027,0.32344269422020455,0.3419148656683962,0.3600817328268437
ENSG00000237242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009253272678581639,-0.016538578346953405,-0.02121145650689741,-0.02336819492006147,-0.024492550171719172,-0.02888396291509902,-0.035298313051758,-0.0428237303444093,-0.05075915211212267,-0.0636217024829396,-0.07569804311717383,-0.08707792487377312,-0.09443482453674813,-0.1012564378669799,-0.10921323112689466,-0.12131944390047857,-0.13040027136008436,-0.13691499961890544,-0.14136846124024913,-0.14860980662812967,-0.15718498069217854,-0.1659364185227461,-0.17450720168478812,-0.18365037577557067,-0.1920257848387607
ENSG00000170279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001145119753495393,0.010195790336341277,0.018358399795835534,0.027184559684616152,0.03438729232254153,0.04184747675353822,0.04493094191673944,0.04579719054858429,0.04544545736386539,0.04583436950544698,0.04934069466387398,0.055238843018585525,0.05991090139128363,0.059460731450637884,0.0552181294802251,0.05026536226422075,0.04451675855304643,0.03902191778005559,0.035031230098238546,0.031078986607189434,0.026801955806009588,0.020189334628625304,0.013220354531506284,0.00766889296717081,0.0020838805944825424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000254138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003096365546847362,-0.002351256059085907,-0.008121160724854287,-0.017009946167130013,-0.028924088115931362,-0.03926147034940409,-0.04893935855936625,-0.057526246927540485,-0.06345420021122533,-0.0670991881106006,-0.07034314862660603,-0.0724984198758734,-0.07457811174988002,-0.07689704905170433,-0.07990266615769104
ENSG00000186075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9760354363608858e-05,6.009505388237226e-05,8.422403363690396e-05,9.78467741231662e-05,0.0001650294034647626,0.0015533387237170282,0.0019276131945462833
ENSG00000213958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020524195748727103,0.03422002545285369,0.04506038548799826,0.054367050596769405,0.062484178682318633,0.06983420267988417,0.07711777643458706,0.08402648394781974,0.088482726211166,0.09261042350755057,0.09642935245290785,0.09962992772420286,0.1028631584596842,0.10599048194048208,0.10878751759302667,0.1114877752000683,0.11417316668731278,0.11681105401717913,0.11895750427877377,0.12047245144118744,0.12224454505543868,0.12351675974941496,0.12435603962575233,0.12558180291809695,0.12717327856887603,0.12913206831053992,0.1310987598914087,0.13338483409497298,0.13576630699944664,0.1381200715759445,0.14058945926948768,0.14291413235302067,0.14521530114305184,0.14757127755394708,0.15001194244688332,0.15279595026202927,0.15599560260124654,0.15877060228348383,0.1613825354606626,0.1639944861022342,0.16647054504947228,0.16870572273119697,0.17112798379232108,0.17469832749872594,0.17875922569370914,0.18277357094103083,0.18634472387570833,0.18964461358751963,0.19342908205403697,0.1973882570512258,0.2015098572617554,0.20609657441986562,0.21080156273512896,0.21531779558309705,0.21997552897732123,0.22526998969367357,0.2304710191496159,0.23627278402268814,0.24184197389316692,0.24786085908629124,0.2545556098855706,0.2625398021214261,0.2714919915182193,0.2796132416729695,0.28773394823908605,0.29626350737111695,0.3048083846539218,0.31507986738679583,0.3252680398576467,0.33545377333363297,0.34633593358507786,0.35779706742536205,0.3687567915227144,0.3808165408673461,0.3937458941106827,0.40627620108454915,0.4192194576051643,0.4316111344036635
ENSG00000205420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.360310255131474e-07,5.614159006752635e-05,0.0013769382799152896,0.0034077384762249883,0.0037460531593833135,0.006881500187260961,0.011095476605088254,0.013381047170986983,0.015290215804263414,0.015274915862476559,0.01658230139300282,0.02176587789026962,0.02805761330783794,0.03167098001788344,0.033886065066753256,0.03686099570186153,0.03791291385326083,0.0375055239396632,0.03680888037723878,0.03257831005760172,0.029781285867210336,0.027234678212503596,0.02744858089390556,0.02857282963696312,0.030326418274833823,0.03280408768631934,0.03816984562500081,0.04397723704851121,0.051182860669367995,0.05870475084045234,0.06625587839381795,0.07340289304982198,0.07897742696104416
