AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
2.833333333,0.251721958,0.352941176,0.12244898,98,6,98,49,FALSE,IL6,12.04081633,0,98,49,49,0.962585034,FALSE,0,IL6,280134,0.068571429
3.835714286,0.155837898,0.260707635,0.019704433,58,8,58,29,FALSE,GNG2,3.24137931,0,58,29,29,0.94212828,FALSE,0,GNG2,174644,0.055472264
3.323809524,0.060405302,0.300859599,0.210826211,54,7,54,27,FALSE,PPARG,12.48148148,0,54,27,27,0.952575316,FALSE,0,PPARG,70314,0.102540557
3.10952381,0.094530523,0.321592649,0.239130435,48,7,48,24,FALSE,FGF2,14.66666667,0,48,24,24,0.956948494,FALSE,0,FGF2,103614,0.108333333
3.185714286,0.092196912,0.313901345,0.122529644,46,7,46,23,FALSE,TLR4,11.13043478,0,46,23,23,0.955393586,FALSE,0,TLR4,90710,0.099720782
3.207142857,0.067393613,0.311804009,0.255411255,44,7,44,22,FALSE,CXCL12,14.18181818,0,44,22,22,0.954956268,FALSE,0,CXCL12,69592,0.12400319
3.521428571,0.019365423,0.283975659,0.247619048,42,7,42,21,FALSE,LEP,12.57142857,0,42,21,21,0.948542274,FALSE,0,LEP,33618,0.138147567
3.35952381,0.0279358,0.297661233,0.29047619,42,7,42,21,FALSE,IGF1,16.23809524,0,42,21,21,0.951846453,FALSE,0,IGF1,39674,0.133412043
3.423809524,0.043913687,0.292072323,0.195238095,42,7,42,21,FALSE,DCN,12.38095238,0,42,21,21,0.9505345,FALSE,0,DCN,63036,0.129323308
3.297619048,0.044582525,0.303249097,0.263157895,40,7,40,20,FALSE,CD36,14.25,0,40,20,20,0.953109815,FALSE,0,CD36,54772,0.121982759
3.354761905,0.05282632,0.298083747,0.248366013,36,7,36,18,FALSE,CCN2,15.5,0,36,18,18,0.951943635,FALSE,0,CCN2,70370,0.12601626
3.566666667,0.060255703,0.280373832,0.235294118,36,7,36,18,FALSE,COL3A1,10.38888889,0,36,18,18,0.947619048,FALSE,0,COL3A1,61092,0.126886145
3.471428571,0.02003767,0.288065844,0.359477124,36,7,36,18,FALSE,ADIPOQ,14,0,36,18,18,0.949562682,FALSE,0,ADIPOQ,28960,0.153846154
3.30952381,0.052972391,0.302158273,0.261437908,36,7,36,18,FALSE,MMP2,15.27777778,0,36,18,18,0.952866861,FALSE,0,MMP2,76244,0.133040936
3.745238095,0.020109013,0.267005722,0.345588235,34,8,34,17,FALSE,LIPE,10.82352941,0,34,17,17,0.943974733,FALSE,0,LIPE,26260,0.179411765
3.342857143,0.107506205,0.299145299,0.139705882,34,6,34,17,FALSE,GFAP,10.35294118,0,34,17,17,0.952186589,FALSE,0,GFAP,109034,0.106617647
3.35952381,0.018221915,0.297661233,0.316176471,34,7,34,17,FALSE,PDGFRA,16.11764706,0,34,17,17,0.951846453,FALSE,0,PDGFRA,26418,0.140153453
3.39047619,0.064842655,0.29494382,0.088235294,34,7,34,17,FALSE,VWF,10.05882353,0,34,17,17,0.951214772,FALSE,0,VWF,52646,0.093089663
3.519047619,0.022408747,0.284167794,0.198529412,34,7,34,17,FALSE,KIT,12.52941176,0,34,17,17,0.948590865,FALSE,0,KIT,23364,0.139705882
3.55952381,0.021115559,0.280936455,0.257352941,34,7,34,17,FALSE,FOS,10.52941176,0,34,17,17,0.94776482,FALSE,0,FOS,28828,0.130882353
3.44047619,0.060937506,0.290657439,0.316666667,32,7,32,16,FALSE,LPL,13.8125,0,32,16,16,0.950194363,FALSE,0,LPL,52066,0.152777778
3.347619048,0.041949386,0.298719772,0.225,32,7,32,16,FALSE,CD34,14.0625,0,32,16,16,0.952089407,FALSE,0,CD34,38764,0.127272727
3.954761905,0.023492687,0.252859723,0.295238095,30,7,30,15,FALSE,LUM,9.2,0,30,15,15,0.939698737,FALSE,0,LUM,29392,0.179084967
3.933333333,0.01290273,0.254237288,0.340659341,28,7,28,14,FALSE,FBN1,10.35714286,0,28,14,14,0.940136054,FALSE,0,FBN1,22700,0.17433414
3.535714286,0.01199454,0.282828283,0.32967033,28,7,28,14,FALSE,FGF7,15.64285714,0,28,14,14,0.948250729,FALSE,0,FGF7,22276,0.172222222
3.897619048,0.050925208,0.256566891,0.064102564,26,8,26,13,FALSE,ITGA7,4.461538462,0,26,13,13,0.940864917,FALSE,0,ITGA7,41990,0.110859729
3.6,0.016810865,0.277777778,0.397435897,26,7,26,13,FALSE,EGR1,13.23076923,0,26,13,13,0.946938776,FALSE,0,EGR1,23108,0.158480074
3.49047619,0.022103006,0.286493861,0.243589744,26,7,26,13,FALSE,CAV1,15.07692308,0,26,13,13,0.949173955,FALSE,0,CAV1,20714,0.15625
3.326190476,0.068234177,0.300644238,0.179487179,26,7,26,13,FALSE,PTGS2,15.92307692,0,26,13,13,0.952526725,FALSE,0,PTGS2,70796,0.140796703
3.961904762,0.025110554,0.252403846,0.346153846,26,7,26,13,FALSE,ELN,11.15384615,0,26,13,13,0.939552964,FALSE,0,ELN,43874,0.187744459
3.945238095,0.009442608,0.253470127,0.363636364,24,8,24,12,FALSE,CCL21,8.25,0,24,12,12,0.9398931,FALSE,0,CCL21,11884,0.222972973
3.404761905,0.048838274,0.293706294,0.196969697,24,7,24,12,FALSE,APOB,12.41666667,0,24,12,12,0.950923226,FALSE,0,APOB,38476,0.145582329
3.914285714,0.002567571,0.255474453,0.46969697,24,8,24,12,FALSE,FABP4,13.33333333,0,24,12,12,0.940524781,FALSE,0,FABP4,6704,0.24691358
3.952380952,0.010113314,0.253012048,0.5,24,8,24,12,FALSE,PLIN1,13.16666667,0,24,12,12,0.939747328,FALSE,0,PLIN1,16230,0.242283951
3.304761905,0.038407261,0.30259366,0.242424242,24,7,24,12,FALSE,EDN1,15.75,0,24,12,12,0.952964043,FALSE,0,EDN1,35258,0.144495413
